top-1 accuracy
100th image: 0.87
200th image: 0.825
300th image: 0.8166666666666667
400th image: 0.825
500th image: 0.834
600th image: 0.8383333333333334
700th image: 0.8414285714285714
800th image: 0.8475
900th image: 0.85
1000th image: 0.849
1100th image: 0.8527272727272728
1200th image: 0.855
1300th image: 0.8576923076923076
1400th image: 0.8607142857142858
1500th image: 0.862
1600th image: 0.856875
1700th image: 0.8558823529411764
1800th image: 0.8572222222222222
1900th image: 0.8589473684210527
2000th image: 0.859
2100th image: 0.861904761904762
2200th image: 0.8595454545454545
2300th image: 0.8591304347826086
2400th image: 0.8591666666666666
2500th image: 0.8612
2600th image: 0.8607692307692307
2700th image: 0.86
2800th image: 0.8585714285714285
2900th image: 0.8596551724137931
3000th image: 0.859
3100th image: 0.8580645161290322
3200th image: 0.8584375
3300th image: 0.8563636363636363
3400th image: 0.8552941176470589
3500th image: 0.8542857142857143
3600th image: 0.855
3700th image: 0.855945945945946
3800th image: 0.8547368421052631
3900th image: 0.8546153846153847
4000th image: 0.8555
4100th image: 0.8563414634146341
4200th image: 0.8547619047619047
4300th image: 0.8548837209302326
4400th image: 0.8552272727272727
4500th image: 0.856
4600th image: 0.8556521739130435
4700th image: 0.855531914893617
4800th image: 0.8554166666666667
4900th image: 0.8559183673469388
5000th image: 0.8562
5100th image: 0.8552941176470589
5200th image: 0.8557692307692307
5300th image: 0.8560377358490566
5400th image: 0.8555555555555555
5500th image: 0.856
5600th image: 0.8567857142857143
5700th image: 0.8573684210526316
5800th image: 0.8575862068965517
5900th image: 0.8572881355932204
6000th image: 0.8566666666666667
6100th image: 0.8568852459016394
6200th image: 0.8569354838709677
6300th image: 0.8573015873015873
6400th image: 0.8571875
6500th image: 0.8576923076923076
6600th image: 0.8575757575757575
6700th image: 0.8571641791044776
6800th image: 0.8573529411764705
6900th image: 0.8571014492753624
7000th image: 0.8568571428571429
7100th image: 0.8574647887323944
7200th image: 0.8575
7300th image: 0.8578082191780821
7400th image: 0.8575675675675676
7500th image: 0.8572
7600th image: 0.8581578947368421
7700th image: 0.8580519480519481
7800th image: 0.8582051282051282
7900th image: 0.8584810126582278
8000th image: 0.858875
8100th image: 0.8596296296296296
8200th image: 0.8595121951219512
8300th image: 0.8597590361445783
8400th image: 0.8596428571428572
